"Drug Name","Dosage Form","USP Apparatus","Speed (RPMs)","Medium","Volume (mL)","Recommended Sampling Times (minutes)","Date Updated"
"Clarithromycin","Tablet (Extended Release)","","","Refer to USP","","","10/06/2008"
"Clarithromycin","Tablet","","","Refer to USP","","","07/25/2007"
"Clindamycin HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Clobazam","Tablet","II (Paddle)","75","0.1 N HCl (degassed)","900","5, 10, 20, 30, 45 and 60 ","07/31/2013"
"Clobazam","Oral Suspension","II (Paddle)","75","0.1 N HCl (degassed)","900","5, 10, 15, 20, 25 and 30 ","07/31/2013"
"Clobazam","Film","V (Paddle over Disk), with 56 mm, 40 mesh stainless steel disk.","75","0.1 N HCl","900","2, 5, 10, 15, 20 and 30","04/22/2021"
"Clomiphene Citrate","Tablet ","","","Develop a dissolution method","","","01/03/2024"
"Clomipramine HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Clonazepam","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Clonazepam","Suspension","","","Develop a dissolution method","","","11/01/2024"
"Clonazepam","Tablet (Orally Disintegrating)","","","Develop a dissolution method","","","09/15/2023"
"Clonidine","Transdermal","","","Refer to USP ","","","02/18/2009"
"Clonidine ( 0.1 mg)","Tablet (Extended Release) ","II (Paddle) with sinker","50","Acid stage: 0.01 N HCl; Buffer stage: Phosphate Buffer, pH 7.0  ","Acid stage: 500; Buffer stage: 500  ","Acid stage: 1 and 2 hours; Buffer stage: 1, 2, 4, 6, 10, 14 and 16 hours","01/26/2012"
"Clonidine ( EQ. 0.17 mg and EQ. 0.26 mg)","Tablet (Extended Release) ","II (Paddle) ","50","500 mL 0.1N HCl for the 1st hour, then add 400 mL 0.27M Sodium Phosphate (Dibasic) buffer solution ","Acid stage: 500; Buffer stage: 900  ","1, 2, 3, 6, 9, 12, 16, 20 and 24 hours ","07/01/2010"
"Clonidine HCl","Tablet","","","Refer to USP","","","06/18/2007"
"Clonidine HCl (0.1 mg & 0.2 mg)","Tablet (Extended Release)","II (Paddle) with sinker","50","Acid stage: 0.01 N HCl; Buffer stage: Phosphate Buffer, pH 7.0","Acid stage: 500; Buffer stage: 500","Acid stage: 1 and 2 hours; Buffer stage: 1, 2, 4, 6, 10, 14 and 16 hours","08/27/2015"
"Clonidine Hydrochloride","Suspension, Extended Release","II (Paddle)","50","0.6 M KH2PO4 solution, pH 4.3","900","0.5, 1, 2, 3, 4, 6, 8, 12, 14, 16, 18 and 24 hours","06/23/2025"
"Clopidogrel Bisulfate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Clorazepate Dipotassium","Tablet","","","Refer to USP","","","01/31/2013"
"Clotrimazole","Tablet (Vaginal)","II (Paddle)","50","0.1 N HCl","900","10, 20, 30 and 45","01/24/2004"
"Clotrimazole","Lozenge","","","Refer to USP","","","10/06/2008"
"Clozapine","Suspension","II (Paddle)","50","Acetate Buffer (pH 4.0)","900","5, 10, 15, 20 and 30","05/28/2015"
"Clozapine","Tablet ","","","Refer to USP  ","","","07/21/2011"
"Clozapine","Tablet (Orally Disintegrating) ","II (Paddle","50 RPM (12.5 mg, 25 mg and 100 mg); 75 RPM (150 mg and 200 mg)","pH 4.5 Acetate Buffer","900","5, 10, 15, 20, and 30","06/09/2011"
"Cobicistat","Tablet","II (Paddle)","75","50 mM Sodium Acetate Buffer, pH 4.5","900","5, 10, 15, 20 and 30","08/27/2015"
"Cobicistat (Cobi)/ Darunavir Ethanolate (Drv)","Tablet","Cobi: II (Paddle): Drv: II (Paddle)","Cobi: 75; Drv:75","Cobi: 0.05 M Citrate Phosphate Buffer, pH 4.2; Drv: 0.05 M Sodium Phosphate Buffer, pH 3.0, 2% Tween 20","Cobi: 900 mL; Drv: 900 mL","Cobi: 5, 10, 15, 20 and 30; Drv:  10, 15, 20, 30 and 45","10/20/2016"
"Cobicistat/Elvitegravir/ Emtricitabine/Tenofovir Alafenamide Fumarate","Tablet","II (Paddle)","100","0.05 M sodium citrate buffer pH 5.5 containing 2.0% w/v polysorbate 80","1000","5, 10, 15, 20 and 30","10/20/2016"
"Cobicistat/Elvitegravir/Emtricitabine/Tenofovir Disoproxil Fumarate","Tablet ","II (Paddle) with sinker","100","0.01 N HCl with 2% w/w Polysorbate 80","1000","5, 10, 15, 20 and 30","06/25/2015"
"Cobimetinib Fumarate","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Codeine Sulfate","Tablet ","","","Refer to USP ","","","09/01/2011"
"Colchicine","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Colchicine","Capsule  ","","","Develop a dissolution method","","","09/15/2023"
"Colesevelam HCl","Tablet","","","Disintegration Testing  as per USP <701> in various media such as simulated gastric fluid and simulated intestinal fluid.","","","10/28/2010"
"Crizotinib","Capsule ","I (Basket) ","100","0.1N HCl (degassed)","900","5, 10, 15, 30 and 45 ","04/14/2016"
"Crofelemer","Tablet (Delayed Release)","II (Paddle) ","75","Acid stage: 0.1 N HCl; Buffer stage: Sodium phosphate buffer, pH 6.8","Acid stage: 750; Buffer stage: 1000","Acid stage: 2 hours; Buffer stage: : 5, 10, 20, 30 and 45 minutes","06/02/2016"
"Cyclobenzaprine","Capsule (Extended Release) ","","","Refer to USP ","","","10/20/2016"
"Cyclobenzaprine HCl","Tablet","","","Refer to USP","","","07/25/2007"
"Cyclophosphamide","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Cycloserine","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Cyclosporine (100 mg) (AB1)","Capsule (Liquid filled)","II (Paddle)","75","0.1 N HCl containing 4 mg of N,N-dimethydodecylamine-N-oxide per mL","1000","10, 20, 30, 45, 60 and 90","01/14/2008"
"Cyproheptadine  HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Cysteamine Bitartrate","Granule (Delayed Release)","I (Basket","75 rpm (for 75 mg strength); 150 rpm (for 300 mg strength)","Acid Stage: 0.1 N HCl; Buffer Stage: 0.2M Sodium Phosphate buffer, pH 6.8","Acid Stage: 1000; Buffer Stage:1000","Acid Stage: 120; Buffer Stage: 5, 10, 15, 20 and 30","08/27/2020"
"Cysteamine Bitartrate","Capsule (Delayed Release)","I (Basket)","75","Acid stage: 0.1N HCl; Buffer stage: 0.05 M Sodium Phosphate buffer, pH 6.8","Acid stage: 1000; Buffer stage: 1000","Acid stage: 2 hours; Buffer stage: : 5, 10, 15, 20 and 30 minutes","08/27/2015"
"Cysteamine Bitartrate","Capsule","I (Basket)","75","0.1 N HCl","900","10, 20, 30 and 45","01/24/2004"
"Dabigatran Etexilate Mesylate","Capsule","I (Basket) for 75 strength:                      I (Basket with modified diameter of 24.5 mm) for 150 mg strength:","100","0.01 N HCl (pH 2.0)","900","10, 20, 30, and 45 ","09/22/2011"
"Dabrafenib Mesylate","Capsule","II (Paddle)","65","0.2% Cetyl trimethylammonium bromide (CTAB)  in 0.1N HCl","900","10, 15, 20, 30 and 45","05/28/2015"
"Daclatasvir Dihydrochloride","Tablet ","II (Paddle) ","75","Phosphate Buffer, pH 6.8  with 0.75% Brij 35","1000","10, 15, 20, 30 and 45","03/17/2016"
"Dalfampridine","Tablet (Extended Release) ","II (Paddle)","50","Phosphate Buffer, pH 6.8","900","0.5, 1, 2, 4, 6, 8, 10 and 12 hours","06/07/2012"
"Danazol","Capsule","","","Refer to USP","","","06/18/2007"
"Dantrolene Sodium","For suspension (Intravenous )","II (Paddle)","50","0.5% Benzalkonium Chloride in water","900","0.5, 1, 2, 3, 5 and 10","03/02/2017"
"Dantrolene Sodium","Capsule","I (Basket)","100","0.5% Hyamine 10X in water, adjust to pH 6.8 with 0.1 N KOH or 0.1 N HCl","900","10, 20, 30, 40 and 60","01/27/2004"
"Dapagliflozin Propanediol","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Dapagliflozin Propanediol/ Metformin HCl","Tablet (Extended Release)","I (Basket- 20 mesh)","100","Phosphate Buffer, pH 6.8","1000","Dapagliflozin: 5, 10, 15, 20, 30 and 45 minutes: Metaformin: 0.5, 1, 2, 3, 4, 6, 8, 10  and 12 hours","08/27/2015"
"Dapagliflozin/Saxagliptin HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","08/27/2020"
"Daprodustat","Tablet","II (Paddle)","50","30 mM Phosphate Buffer, pH 6.8","500 for 1 mg; 900 for 2, 4, 6 and 8 mg","5, 10, 15, 20, 25, 30, 45 and 60","05/31/2024"
"Dapsone","Tablet ","","","Refer to USP ","","","12/23/2010"
"Dapsone","Gel (Topical) ","","","Develop a method to characterize in vitro release ","","","07/28/2016"
"Daridorexant HCl","Tablet","II (Paddle)","75","pH 1.2 (NaCl/HCl)","900","5, 10, 15 and 30","05/18/2023"
"Darifenacin Hydrobromide","Tablet (Extended Release)","I (Basket)","100","0.01N HCl","900","1, 4, 8, 12, 16, 20 and 24 hours","01/20/2006"
"Darolutamide","Tablet","II (Paddle)","75","1% sodium lauryl sulfate (SLS) in 0.01N HCl","1000","15, 30, 45, 60, 75 and 90","01/30/2020"
"Darunavir Ethanolate","Oral Suspension","II (Paddle)","75","0.05% Polysorbate 20 in 0.05M Phosphate Buffer, pH 6.8","900","5, 10, 15, 20, 30 and 45","06/25/2015"
"Darunavir Ethanolate","Tablet","II (Paddle)","75","2% Tween-20 in 0.05 M Sodium Phosphate Buffer, pH 3.0","900","10, 20, 30, and 45 ","09/13/2007"
"Darunavir(Drv)/Cobicistat (Cobi)/Emtricitabine (Emt)/Tenofovir Alafenamide Fumarate (Taf)","Tablet","II (Paddle)","75","Drv: 0.05 M Sodium Phosphate Buffer, pH 3.0, 2% Tween 20; For Cobi, Emt and Taf: Citrate Phosphate Buffer, pH 4.2","900","Drv: 10, 15, 20, 30 and 45; For Cobi, Emt and Taf: 5, 10, 15, 20 and 30","07/07/2022"
"Dasabuvir Na/ Ombitasvir/Paritaprevir/Ritonavir","Tablet (Extended Release)  ","III (Reciprocating Cylinder [40 mesh (for bottom and top of the inner tube)]","25 dpm","15 mM hexadecyltrimethylammonium bromide (CTAB)  in 0.03M Sodium Phosphate Buffer, pH 6.8","250","Ombitasvir/ Paritaprevir/ Ritonavir: 10, 15, 20, 30, 45, 60 and 90 minutes;Dasabuvir: 1, 2, 3, 6, 9, 12, 15, 18, 21 and 24 hours","10/20/2016"
"Dasatinib","Tablet","II (Paddle)","60","pH 4.0 Acetate buffer containing 1% Triton X-100","1000","10, 15, 30 and 45","10/30/2009"
"Deferasirox","Tablet (for Oral Suspension)","II (Paddle)","50","Phosphate buffer pH 6.8 with 0.5% Tween 20","900","10, 20, 30 and 45","06/21/2006"
"Deferasirox","Tablet ","II (Paddle) ","75","0.5% Tween 20 in Phosphate Buffer, pH 6.8 ","900","5, 10, 15, 20 and 30","03/17/2016"
"Deferasirox","Granule","II (Paddle)","75","Phosphate Buffer, pH 6.8 with 0.5% Tween 20","900","5, 10, 15, 20 and 30","11/02/2017"
"Deferiprone","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Deferiprone (1 GM)","Tablet","I (Basket)","100","Acidic Stage: 0.1 N HCl, Buffer Stage: 0.05 M Phosphate buffer, pH 6.8.","","Acid Stage: 2 hours; Buffer Stage: 1, 2, 3 and 4 hours","07/07/2022"
"Deflazacort","Suspension","II (Paddle)","25","Simulated Gastric Fluid, pH 1.2","500","5, 10, 15 and 30","07/07/2023"
"Deflazacort","Tablet","II (Paddle)","50","50 mM Phosphate buffer w/0.3% SLS, pH 6.8","500","5, ,15, 30 and 45","07/07/2023"
"Degarelix Acetate","Powder for Injection","","","Develop a method to characterize in vitro release","","","10/06/2023"
"Delafloxacin Meglumine","Tablet","II (Paddle)","60","0.05 M Phosphate Buffer, pH 7.4 (degassed)","900","5, 10, 15, 20 and 30","11/16/2017"
"Delavirdine Mesylate","Tablet","II (Paddle)","50","0.05 M Phosphate Buffer, pH 6.0 containing 0.6% w/v SDS","900","10, 20, 30, 45 and 60","12/03/2007"
"Demeclocycline HCl","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Demeclocycline HCl","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Desipramine HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Desloratadine","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Desloratadine","Tablet (Orally Disintegrating)","II (Paddle)","50","0.1 N HCl","900","3, 6, 10, 15","06/18/2007"
"Desloratadine/Pseudoephedrine Sulfate (2.5 mg/120 mg)","Tablet (Extended Release)","II (Paddle)","50","First hour: 0.1 N HCl;                                                           After 1 hour: 0.1M Potassium Phosphate Buffer pH 7.5","1000","For Desloratadine: 10, 20, 30 and 45; For Pseudoephedrine Sulfate: 1, 2, 6 and 8 hours","04/02/2009"
"Desloratadine/Pseudoephedrine Sulfate (5 mg/240 mg)","Tablet (Extended Release)","II (Paddle)","50","First hour: 0.1 N HCl;                                                            After 1 hour: 0.1M Potassium Phosphate Buffer pH 7.5","1000","For Desloratadine: 10, 20, 30 and 45; For Pseudoephedrine Sulfate: 1, 2, 4, 8, 16 and 24 hours","04/02/2009"
"Desmopressin Acetate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Desogestrel/Ethinyl Estradiol","Tablet","","","Refer to USP","","","11/04/2008"
"Desvenlafaxine Succinate","Tablet (Extended Release)","","","Develop a dissolution method","","","09/15/2023"
"Deucravacitinib","Tablet","II (Paddle)","75","50 mM potassium phosphate buffer, pH 6.3 with 0.01% (w/v) Brij®35","1000","10, 20, 30, 45 and 60","11/30/2023"
"Deutetrabenazine","Tablet, Extended Release","II (Paddle) with sinker","75","50 mM Potassium Biphthalate pH 3.0","500","1, 2, 4, 6, 8, 10, 12, 16 and 20 hours","06/23/2025"
"Deutetrabenazine","Tablet","II (Paddle) over a disk (62 mm with 16 mesh)","75","pH 3.0 Acid Phthalate Buffer","500","0.5, 1, 1.5, 2, 3, 4, 5 and 6 hours","11/02/2017"
"Dexamethasone","Implant (Intravitreal)","VII (with reciprocating 50 mesh baskets)","30 cycles per min ","Phosphate Buffered Saline containing 0.05 g/L sodium dodecyl sulfate at 45 ± 0.5°C","30","12, 24, 48, 72, 96, 120, 144, 168, 192, 216 and 240 hours","10/21/2010"
"Dexamethasone","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Dexamethasone/Neomycin Sulfate/ Polymyxin B Sulfate","Ophthalmic Suspension","","","Develop a method to characterize in vitro release","","","02/15/2018"
"Dexamethasone/Tobramycin","Ophthalmic Suspension","","","Develop a method to characterize in vitro release","","","04/02/2009"
"Dexbrompheniramine Maleate/Pseudoephedrine Sulfate","Tablet (Extended Release)","III (Reciprocating Cylinder)","12 dpm","0.02N HCl (2 hours) followed by  0.05M Phosphate Buffer pH 7.5","250","0.5, 1, 2, 3, 4, 6 and 8 hours","05/28/2015"
"Dexlansoprazole","Capsule (Delayed Release)","I (Basket)","100","Acid Stage: 0.1 N HCl, Buffer Stage:  pH 7.0 Phosphate Buffer with 5 mM SLS","Acid Stage: 500; Buffer stage: 900","Acid Stage: 120; Buffer Stage: 10, 20, 40, 50, 60 , 75, 105 and 120","08/05/2010"
"Dexlansoprazole","Tablet (Delayed Release, Orally Disintegrating)","I (Basket -100 mesh)","100","Acid Stage: 0.1 N HCl; Buffer Stage: pH 7.2 Phosphate Buffer with 5 mM Sodium lauryl sulfate","Acid Stage: 500 mL; Buffer Stage: 900 mL","Acid Stage: 120; Buffer Stage: 10, 15, 20, 30, 50, 60, 75 and 90 ","07/28/2016"
"Dexmedetomidine HCl","Sublingual Film","V (Paddle over disk)","50","Simulated saliva","500","5, 10, 15, 20 and 30","05/31/2023"
"Dexmethylphenidate HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Dexmethylphenidate HCl","Capsule (Extended Release)","I (Basket)","100","First 2 hours: 0.01 N HCl, Hours 2-10: Phosphate Buffer, pH 6.8","Acid: 500, Buffer: 500","0.5, 1, 2, 4, 6, and 10 hours","01/14/2008"
"Dexmethylphenidate HCl; Serdexmethylphenidate Chloride","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","05/18/2023"
"Dextroamphetamine","Transdermal System","VI (Cylinder)","50","50 mM potassium phosphate buffer, pH 6.8","","5, 10, 15, 30, 45, 60, 120, 180, 240, 300 and 360","11/30/2023"
"Dextroamphetamine Sulfate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Dextroamphetamine Sulfate","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Dextroamphetamine Sulfate","Capsule (Extended Release)","I ( Basket)","100","0.1 N HCl","500","1, 4, 8 and 12 hours","11/25/2008"
"Dextromethophan HBr/Guaifenesin","Tablet (Extended Release)","I (Basket)","50","0.01 N HCl","900","1, 2, 6, and 12 hours","11/25/2008"
"Dextromethorphan Hydrobromide/Quinidine Sulfate","Capsule","I (Basket)","100","pH 1.2, Simulated Gastric Fluid without enzyme","900","5, 10, 15, 20 and 30","01/05/2012"
"Dextromethorphan Polistirex","Suspension (Extended Release)","II (Paddle)","50","0.1 N HCl","500","30, 60, 90 and 180","10/06/2008"
"Diazepam","Film","","","Develop a dissolution method","","","06/23/2025"
"Diazepam","Tablet","","","Refer to USP","","","07/25/2007"
"Diazoxide","Oral suspension","","","Develop a dissolution method   ","","","02/14/2014"
"Diclofenac","Capsule","I (Basket)","100","10 mM Citrate Buffer pH 5.5 with 0.05% Sodium Dodecyl Sulfate (SDS)","900","5, 10, 20, 30 and 45","06/25/2015"
"Diclofenac Epolamine","Topical patch","V (Paddle over Disk) with a watchdish (a diameter of 6 cm)","50","pH 6.8 phosphate buffer at 32 ± 0.5°C","500","15, 30, 45, 60, 90, 120 and 180","10/21/2010"
"Diclofenac Potassium","Tablet","II (Paddle)","50","SIF without enzyme","900","10, 20, 30, 45, 60 and 90","01/27/2004"
"Diclofenac Potassium","Powder for Oral Solution","II (Paddle","75","0.05M phosphate buffer (TriSodium Phosphate Dodecahydrate in 0.1 N HCl and pH adjusted to 6.8)","400","2.5, 5, 7.5 and 10","10/21/2010"
"Diclofenac Potassium","Capsule","II (Paddle","50","50 mM Phosphate buffer pH 6.8","900","10, 15, 20, 30 and 45 ","10/21/2010"
"Diclofenac Sodium","Tablet (Extended Release)","","","Refer to USP","","","06/10/2009"
"Diclofenac Sodium","Tablet (Delayed Release)","","","Refer to USP","","","06/10/2009"
"Diclofenac Sodium/Misoprostol Enteric Coated","Tablet (Delayed Release)","II (Paddle) (diclo)","100 (diclo)","Diclofenac: Acid Stage: 0.1 N HCl  Buffer Stage: 750ml 0.1N HCL+250ml 0.2M phos.buffer, pH 6.8 (Method A) Misoprostol: Develop a dissolution method","Diclo: Acid: 750 Buffer:1000","Diclo.: 120 (acid) 15, 30, 45 and 60 (Buffer)","09/15/2023"
"Dicloxacillin Sodium","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Dicyclomine Hydrochloride","Tablet","","","Refer to USP","","","05/12/2022"
"Didanosine","Tablet (Chewable)","","","Develop a dissolution method","","","09/15/2023"
"Didanosine","Capsule (Delayed Release Pellets)","I (Basket)","100","Acid stage: 0.1 N HCl; Buffer stage: 0.1 N HCl:0.2M Tribasic Sodium Phosphate (3:1), pH 6.8","1000","Acid stage: 60, 90 and 120; Buffer stage: 10, 20, 30, 45 and 60","01/26/2004"
"Dienogest/Estradiol Valerate","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Diethylpropion HCl","Tablet (Extended Release)","","","Develop a dissolution method","","","09/15/2023"
"Diflunisal","Tablet","","","Refer to USP","","","04/15/2008"
"Digoxin","Tablet","","","Refer to USP","","","06/18/2007"
"Diltiazem HCl","Tablet (Extended Release)","II (Paddle)","100","Phosphate Buffer, pH 5.8","900","2, 8, 14, and 24 hours","02/19/2008"
"Diltiazem HCl","Capsule (Extended Release)","","","Develop a dissolution method","","","01/03/2024"
"Dimethyl Fumarate","Capsule  (Delayed Release)","II (Paddle) ","100","Acid stage: 0.1 N HCl; Buffer stage: pH 6.8 Phosphate Buffer","Acid stage: 500; Buffer stage: 500","Acid stage: 2 hours; Buffer stage: 5, 10, 20, 30 and 45","06/02/2016"
"Dinoprostone","Vaginal Suppository","","","Develop a method to characterize in vitro release   ","","","10/04/2012"
"Dinoprostone","Vaginal Insert (Extended Release)","","","Develop a dissolution method","","","09/15/2023"
"Diphenhydramine Citrate/Ibuprofen","Tablet","II (Paddle)","50","50 mM Phosphate Buffer, pH 6.5","900","10, 20, 30 and 45","01/14/2008"
"Diphenhydramine HCl/Ibuprofen","Capsule","I (Basket)","100","200 mM Phosphate Buffer, pH 7.2","900","10, 20, 30 and 45","01/14/2008"
"Dipyridamole","Tablet","","","Refer to USP","","","06/18/2007"
"Diroximel Fumarate","Capsule (Delayed Release)","II (Paddle) with sinker","75","Acid Stage: 0.1 N HCl; Buffer Stage:  Na.Phosphate Buffer, pH 6.5  ","","Acid Stage: 120; Buffer Stage: 10, 20, 30, 45, 60, 75 and 90","04/02/2020"
"Disopyramide Phosphate","Capsule","","","Develop a dissolution method","","","01/03/2024"
"Disopyramide Phosphate","Capsule (Extended Release)","","","Refer to USP","","","11/04/2008"
"Disulfiram","Tablet","II (Paddle)","100","2% SDS","900","15, 30, 45, 60, 75, 90, 105, and 120","06/18/2007"
"Divalproex Sodium","Tablet (Delayed Release)","","","Refer to USP","","","07/25/2007"
"Divalproex Sodium","Tablet (Extended Release)  ","","","Refer to USP ","","","06/30/2016"
"Divalproex Sodium","Capsule (Delayed Release) ","","","Refer to USP ","","","06/30/2016"
"Dofetilide","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Dolasetron Mesylate","Tablet","","","Develop a dissolution method","","","01/03/2024"
"Dolutegravir Na/Rilpivirine HCl","Tablet","II (Paddle)","75","1.0 % Tween 20 in 0.01 M HCl, pH 2.0","900","10, 15, 20, 30, 45 and 60","02/08/2018"
"Dolutegravir Sodium (10 mg)","Tablet","II (Paddle)","50","0.01M pH 6.8 phosphate buffer","900","5, 10, 15, 20, 30 and 45","10/18/2018"
"Dolutegravir Sodium (25 mg)","Tablet","II (Paddle)","50","0.01M pH 6.8 phosphate buffer containing 0.15% w/v sodium dodecyl sulfate (SDS)","900","5, 10, 15, 20, 30 and 45","10/18/2018"
"Dolutegravir Sodium (50 mg)","Tablet","II (Paddle)","50","0.01M pH 6.8 phosphate buffer containing 0.25% w/v sodium dodecyl sulfate (SDS)","900","5, 10, 15, 20, 30 and 45","10/18/2018"
"Donepezil  HCl/Memantine  HCl","Capsule (Extended Release)","I (Basket)","100","pH 1.2 NaCl/HCl buffer","900","Donepezil: 5, 10, 15, 20 and 30 minutes; Memantine: 1, 2, 3, 4, 6, 8, 10 and 12 hours","05/28/2015"
"Donepezil HCl","Transdermal","V (Paddle over disk) with Transdermal System Holding Wire Screen (TSHWR)","100","0.02 M sodium acetate buffer, pH 4.5 at 32°C","900","1,8,24,48 and 168 hours","05/18/2023"
"Donepezil HCl","Tablet (Orally Disintegrating (ODT))","II (Paddle)","50","0.1 N HCl","900","10, 20, 30 and 45","03/04/2006"
"Donepezil HCl","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Donepezil HCl (23 mg)","Tablet ","II (Paddle","50","0.05 M Phosphate Buffer, pH 6.8","900","1, 2, 3, 4, 6, 8 and 10 hours","12/23/2010"
"Doravirine/Lamivudine/Tenofovir Disoproxil Fumarate","Tablets","II (Paddle)","75","25 mM Phosphate Buffer, pH 6.8 with 3% Polysorbate 80","900","5, 10, 15, 20, 30, 45, 60 and 90","10/06/2023"
"Doxazosin Mesylate","Tablet","II (Paddle)","50","0.01 N HCl","900","10, 20, 30, 45 and 60","01/27/2004"
"Doxazosin Mesylate","Tablet (Extended Release)","II (Paddle)","75","SGF without enzyme","900","1, 2, 4, 6, 8, 12 and 16 hours","01/03/2007"
"Doxepin HCl","Tablet","II (Paddle)","50","Simulated Gastric Fluid w/o enzyme (pH 1.1-1.3)","900","5, 10, 15, 20, 30 and 45 ","09/02/2010"
"Doxepin HCl","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Doxepin HCl","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Doxercalciferol","Capsule","","","Develop a quantitative rupture test","","","06/03/2008"
"Doxorubicin HCl","Injectable (Liposomal) ","","","Develop a method to characterize in vitro release, starting at pH 6.00 ± 0.05 and at 47ºC ± 0.5ºC. Replicate for 12 dosage vials.","","","10/04/2012"
"Doxycycline","Capsule (Delayed Release)","II (Paddle)","75","Dilute HCl, pH 1.1 for 2 hours and then add 200 mL of 0.1 N NaOH in 200 mM Phosphate Buffer.  Adjust pH to 6.0 using 2 N HCl and/or 2N NaOH","Acid stage: 750;        Buffer stage: 950","1, 2, 2.5 , 3 and 4 hours","10/06/2008"
"Doxycycline","Suspension","II (Paddle)","25","0.01 N HCl","900","5, 10, 15 and 20","09/03/2008"
"Doxycycline Calcium","Suspension  ","","","Develop a dissolution method","","","03/07/2019"
"Doxycycline Hyclate","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Doxycycline Hyclate","Tablet ","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Doxycycline Hyclate ( 120 mg and 60 mg)","Tablet (Delayed Release) ","I (Basket)","100","Acid stage: 0.06 N HCl; Buffer stage: Neutralized Phthalate Buffer, pH 5.5 ","Acid stage: 900 mL; Buffer stage: 900 mL","Acid stage: 10, 20, 30, 45 and 60; Buffer stage: 5, 10, 15, 20, 30 and 45","03/27/2018"
"Doxycycline Hyclate ( 150 mg and 75 mg)","Tablet","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
"Doxycycline Hyclate ( 200 mg, 150 mg, 100 mg, 80 mg and 75 mg)","Tablet (Delayed Release)","","","Refer to USP","","","05/28/2015"
"Doxycycline Hyclate ( 50 mg)","Tablet (Delayed Release)","I (Basket)","100","Acid stage: 0.06 N HCl; Buffer stage: Neutralized Phthalate Buffer, pH 5.5","900","Acid stage: 5, 10, 15, 20 and 30; Buffer stage: 5, 10, 15, 20 and 30","05/28/2015"
"Doxylamine Succinate/Pyridoxine HCl","Tablet (Extended Release)  ","II (Paddle)","100","Acid stage: 0.1 N HCl: Buffer stage: 0.2M sodium phosphate buffer pH 6.8","Acid stage: 1000 mL; Buffer stage: 1000 mL","Acid stage: 5, 10, 15, 30,  60, 120; Buffer stage: 5, 10, 15, 20 and 30","01/19/2017"
"Dronabinol","Capsule","","","Develop a dissolution method; (In addition, the USP capsule rupture test should also be conducted)","","","09/15/2023"
"Dronedarone HCl","Tablet","II (Paddle) with sinker","75","pH 4.5 Phosphate buffer","1000","10, 15, 20, 30, 45, 60, 90 and 120","02/25/2015"
"Drospirenone/Estetrol","Tablet","II (Paddle)","50","Phosphate Buffer pH 6.8","900","5,10, 15, 20 and 30","03/30/2023"
"Drospirenone/Estradiol","Tablet","","","Develop a dissolution method","","","09/15/2023"
"Drospirenone/Ethinyl Estradiol","Tablet ","","","Develop a dissolution method","","","01/03/2024"
"Drospirenone/Ethinyl Estradiol/Levomefolate Calcium","Tablet ","II (Paddle)","50","Phosphate buffer pH 6.8, saline with 0.03 % ascorbic acid","900","5, 10, 15, 20 and 30","07/28/2016"
"Droxidopa","Capsule","","","Refer to FDA's Dissolution Guidance, 2018","","","07/02/2020"
